image,text
sentence_00001.jpg,HELLO WORLD
sentence_00002.jpg,THE SUN IS BRIGHT
sentence_00003.jpg,CATS SLEEP ALL DAY
sentence_00004.jpg,DOGS RUN VERY FAST
sentence_00005.jpg,MACHINE LEARNING IS FUN
sentence_00006.jpg,I WRITE GOOD CODE
sentence_00007.jpg,BLUE SKY ABOVE US
sentence_00008.jpg,GREEN GRASS BELOW
sentence_00009.jpg,APPLES ARE RED FRUIT
sentence_00010.jpg,BANANAS ARE YELLOW
sentence_00011.jpg,READ A GOOD BOOK
sentence_00012.jpg,LISTEN TO THE MUSIC
sentence_00013.jpg,OPEN THE DOOR NOW
sentence_00014.jpg,CLOSE THE WINDOW
sentence_00015.jpg,TIME FLIES SO FAST
sentence_00016.jpg,COMPUTERS WORK HARD
sentence_00017.jpg,DATA IS VERY VALUABLE
sentence_00018.jpg,KEEP LEARNING DAILY
sentence_00019.jpg,NEVER GIVE UP HOPE
sentence_00020.jpg,TRUST THE PROCESS
sentence_00021.jpg,WALK IN THE PARK
sentence_00022.jpg,SWIM IN THE OCEAN
sentence_00023.jpg,BIRDS FLY IN SKY
sentence_00024.jpg,FISH SWIM IN WATER
sentence_00025.jpg,DRINK MORE WATER
sentence_00026.jpg,EAT HEALTHY FOOD
sentence_00027.jpg,SLEEP EIGHT HOURS
sentence_00028.jpg,WAKE UP EARLY
sentence_00029.jpg,WORK HARD PLAY HARD
sentence_00030.jpg,PYTHON IS A SNAKE
sentence_00031.jpg,JAVA IS A COFFEE
sentence_00032.jpg,LOVE IS A FEELING
sentence_00033.jpg,HATE IS BAD EMOTION
sentence_00034.jpg,RAIN FALLS DOWN
sentence_00035.jpg,SNOW IS COLD ICE
sentence_00036.jpg,FIRE IS VERY HOT
sentence_00037.jpg,WIND BLOWS STRONG
sentence_00038.jpg,TREES GROW TALL
sentence_00039.jpg,FLOWERS BLOOM NOW
sentence_00040.jpg,CARS DRIVE ON ROAD
sentence_00041.jpg,PLANES FLY HIGH
sentence_00042.jpg,BOATS FLOAT ON SEA
sentence_00043.jpg,TRAINS MOVE FAST
sentence_00044.jpg,RIDE A BICYCLE
sentence_00045.jpg,PLAY A GUITAR
sentence_00046.jpg,SING A LOUD SONG
sentence_00047.jpg,DANCE TO THE BEAT
sentence_00048.jpg,DRAW A PICTURE
sentence_00049.jpg,PAINT A WALL RED
sentence_00050.jpg,WRITE A SHORT LETTER
sentence_00051.jpg,SEND A TEXT MESSAGE
sentence_00052.jpg,CALL ME LATER
sentence_00053.jpg,SPEAK THE TRUTH
sentence_00054.jpg,LIES ARE NOT GOOD
sentence_00055.jpg,BE KIND TO OTHERS
sentence_00056.jpg,HELP YOUR FRIENDS
sentence_00057.jpg,SMILE AT STRANGERS
sentence_00058.jpg,LAUGH OUT LOUD
sentence_00059.jpg,CRY IF YOU MUST
sentence_00060.jpg,FEEL THE RHYTHM
sentence_00061.jpg,SEE THE COLORS
sentence_00062.jpg,TASTE THE SWEET
sentence_00063.jpg,SMELL THE ROSES
sentence_00064.jpg,TOUCH THE TEXTURE
sentence_00065.jpg,USE YOUR BRAIN
sentence_00066.jpg,THINK BIG THOUGHTS
sentence_00067.jpg,DREAM BIG DREAMS
sentence_00068.jpg,MAKE NEW PLANS
sentence_00069.jpg,SET HIGH GOALS
sentence_00070.jpg,ACHIEVE SUCCESS
sentence_00071.jpg,FAIL AND RETRY
sentence_00072.jpg,WIN THE GAME
sentence_00073.jpg,LOSE WITH GRACE
sentence_00074.jpg,SPORTS ARE HEALTHY
sentence_00075.jpg,RUN A LONG RACE
sentence_00076.jpg,JUMP VERY HIGH
sentence_00077.jpg,THROW THE BALL
sentence_00078.jpg,CATCH IT QUICKLY
sentence_00079.jpg,WATCH A MOVIE
sentence_00080.jpg,ACT IN A PLAY
sentence_00081.jpg,DIRECT A SCENE
sentence_00082.jpg,EDIT THE VIDEO
sentence_00083.jpg,SAVE THE FILE
sentence_00084.jpg,DELETE THE TRASH
sentence_00085.jpg,EMPTY THE BIN
sentence_00086.jpg,CLEAN THE ROOM
sentence_00087.jpg,WASH THE DISHES
sentence_00088.jpg,COOK A MEAL
sentence_00089.jpg,BAKE A CAKE
sentence_00090.jpg,BOIL THE WATER
sentence_00091.jpg,FRY THE EGG
sentence_00092.jpg,CUT THE BREAD
sentence_00093.jpg,SERVE THE GUESTS
sentence_00094.jpg,THANK YOU MUCH
sentence_00095.jpg,YOU ARE WELCOME
sentence_00096.jpg,HAVE A NICE DAY
sentence_00097.jpg,GOOD NIGHT ALL
sentence_00098.jpg,SWEET DREAMS NOW
sentence_00099.jpg,SEE YOU SOON
sentence_00100.jpg,MOON GLOWS WHITE
sentence_00101.jpg,STARS SHINE ABOVE
sentence_00102.jpg,SPACE IS VERY DARK
sentence_00103.jpg,MARS IS RED PLANET
sentence_00104.jpg,EARTH IS OUR HOME
sentence_00105.jpg,ROCKETS GO TO SPACE
sentence_00106.jpg,GRAVITY PULLS DOWN
sentence_00107.jpg,PHYSICS IS LOGIC
sentence_00108.jpg,MATH IS PURE TRUTH
sentence_00109.jpg,ALGEBRA IS USEFUL
sentence_00110.jpg,GEOMETRY HAS SHAPES
sentence_00111.jpg,CIRCLE IS ROUND
sentence_00112.jpg,SQUARE HAS SIDES
sentence_00113.jpg,TRIANGLE HAS THREE
sentence_00114.jpg,LINES NEVER END
sentence_00115.jpg,ANGLES ARE SHARP
sentence_00116.jpg,NUMBERS COUNT UP
sentence_00117.jpg,ADD TWO NUMBERS
sentence_00118.jpg,SUBTRACT THE COST
sentence_00119.jpg,MULTIPLY THE GAIN
sentence_00120.jpg,DIVIDE THE SHARE
sentence_00121.jpg,LIONS ROAR LOUD
sentence_00122.jpg,TIGERS HAVE STRIPES
sentence_00123.jpg,BEARS SLEEP WINTER
sentence_00124.jpg,WOLVES HOWL MOON
sentence_00125.jpg,EAGLES SOAR HIGH
sentence_00126.jpg,SHARKS SWIM DEEP
sentence_00127.jpg,WHALES ARE HUGE
sentence_00128.jpg,ANTS WORK TOGETHER
sentence_00129.jpg,SPIDERS SPIN WEBS
sentence_00130.jpg,SNAKES SLITHER BY
sentence_00131.jpg,COWS EAT GRASS
sentence_00132.jpg,HORSES GALLOP FAST
sentence_00133.jpg,PIGS LIKE MUD
sentence_00134.jpg,SHEEP HAVE WOOL
sentence_00135.jpg,CHICKENS LAY EGGS
sentence_00136.jpg,PIZZA IS YUMMY
sentence_00137.jpg,SOUP IS VERY HOT
sentence_00138.jpg,ICE CREAM IS COLD
sentence_00139.jpg,BURGER AND FRIES
sentence_00140.jpg,STEAK IS COOKED
sentence_00141.jpg,SALAD IS HEALTHY
sentence_00142.jpg,RICE IS WHITE
sentence_00143.jpg,NOODLES ARE LONG
sentence_00144.jpg,SUGAR IS SWEET
sentence_00145.jpg,SALT IS SALTY
sentence_00146.jpg,PEPPER IS SPICY
sentence_00147.jpg,LEMON IS SOUR
sentence_00148.jpg,COFFEE WAKES ME
sentence_00149.jpg,TEA IS CALMING
sentence_00150.jpg,TABLE IS WOODEN
sentence_00151.jpg,CHAIR IS STURDY
sentence_00152.jpg,FLOOR IS HARD
sentence_00153.jpg,ROOF KEEPS DRY
sentence_00154.jpg,WALLS ARE PAINTED
sentence_00155.jpg,LAMP GIVES LIGHT
sentence_00156.jpg,KEY OPENS LOCK
sentence_00157.jpg,BOX HOLDS THINGS
sentence_00158.jpg,BAG CARRIES STUFF
sentence_00159.jpg,PEN WRITES INK
sentence_00160.jpg,PENCIL DRAWS LINES
sentence_00161.jpg,PAPER IS WHITE
sentence_00162.jpg,BOOK HAS PAGES
sentence_00163.jpg,READ THE WORDS
sentence_00164.jpg,LEARN NEW THINGS
sentence_00165.jpg,STUDY FOR TEST
sentence_00166.jpg,PASS THE EXAM
sentence_00167.jpg,SCHOOL IS OPEN
sentence_00168.jpg,TEACHER IS WISE
sentence_00169.jpg,CLASS IS QUIET
sentence_00170.jpg,STUDENT IS READY
sentence_00171.jpg,BUS IS LATE
sentence_00172.jpg,CAR IS FAST
sentence_00173.jpg,BIKE IS SLOW
sentence_00174.jpg,WALK ON FEET
sentence_00175.jpg,RUN FOR FUN
sentence_00176.jpg,LIFT HEAVY WEIGHTS
sentence_00177.jpg,STRETCH YOUR ARMS
sentence_00178.jpg,BEND YOUR KNEES
sentence_00179.jpg,KEEP YOUR BALANCE
sentence_00180.jpg,BREATHE IN DEEP
sentence_00181.jpg,BREATHE OUT SLOW
sentence_00182.jpg,RELAX YOUR MIND
sentence_00183.jpg,PEACE IS GOOD
sentence_00184.jpg,WAR IS BAD
sentence_00185.jpg,FRIENDS ARE NICE
sentence_00186.jpg,FAMILY IS LOVE
sentence_00187.jpg,SUMMER IS HOT
sentence_00188.jpg,WINTER IS COLD
sentence_00189.jpg,AUTUMN LEAVES FALL
sentence_00190.jpg,SPRING FLOWERS GROW
sentence_00191.jpg,STORM IS COMING
sentence_00192.jpg,THUNDER IS LOUD
sentence_00193.jpg,LIGHTNING IS BRIGHT
sentence_00194.jpg,RAIN MAKES WET
sentence_00195.jpg,UMBRELLA KEEPS DRY
sentence_00196.jpg,WEAR A COAT
sentence_00197.jpg,PUT ON SHOES
sentence_00198.jpg,TIE YOUR LACES
sentence_00199.jpg,READY TO GO
